School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Massachusetts,Boston Coll,"BI 201
AND BI 445","ECOLOGY AND EVOLUTION
AND ANIMAL BEHAVIOR",BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Boston University,BI 106,HUMAN ANATOMY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Boston University,GMS AN722,CELL ORG TISSUE,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Boston University,NE 101,INTRO. TO NEUROSCIENCE,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Bristol Communty Col,BIO 126,INTRO TO BIOTECHNOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Massachusetts,Bristol Communty Col,BIO 127,INTRO TO BIOTECHNIQUES,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Bunker Hill Cmty Col,BIO 196,GEN BIOLOGY II/LAB,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Bunker Hill Cmty Col,BIO 523,POPULATION AND BIOLOGY/LAB,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Clark Univ,BIOL 101,INTRO TO BIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Dean College,BIO 152,GENERAL BIOLOGY-ORGANISMS,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Greenfield Cmty Coll,BIO 195,HUMAN ANATOMY AND PHYSIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Holyoke Cmty College,BIO 107,GEN BIOLOGY 1: INTRO TO CELL,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Northeastern University,"BIOL 1114
AND BIOL 1113","GENERAL BIOLOGY 2 LAB
AND GENERAL BIOLOGY 2",BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Northern Essex C C,"BIO 104
AND BIO 103","HUM NUTR & HLTH LAB
AND HUM NUTRITION & HEALTH",BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Northern Essex C C,BIO 112,INTRO BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Northern Essex C C,BIO 121,ANAT & PHYS I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Northern Essex C C,BIO 122,ANAT & PHYS II,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Quincy College,"BIO 106
AND BIO 116","NUTRITION
AND NUTRITION LAB",BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Simons Rock Clg Bard,BIO 303,INTRO TO BIOINFORMATICS,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Smith College,BIO 150,"CELLS, PHYSIOLOGY & DEVELOP",BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Springfield Tech C C,BIOL 132,ANATOMY & PHYSIOLOGY 1,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Springfield Tech C C,BIOL 206,BIOLOGY 2,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Springfield Tech C C,BIOL 232,ANAT AND PHYSIOLOGY 2,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Univ Mass Dartmth,"BIO 122
AND BIO 132","BIOLOGY OF ORGANISMS II
AND BIO OF ORGANISMS LAB II",BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Univ Mass Lowell,"BIOL 1180L
AND BIOL 1120","PRINCIPLES OF BIOLOGY II LAB
AND PRINCIPLES OF BIOLOGY II",BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Univ Mass at Amherst,MICROBIO 160,BIOLOGY OF CANCER AND AIDS,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Univ Mass at Amherst,NUTRITN 130,NUTRITION/HEALTHY LIFESTYLE,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Wellesley College,BISC 111,INTRO ORGANISMAL BIOLOGY W/LAB,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Wellesley College,NEUR 100,INTRO TO NEUROSCIENCE W/PRACT,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Westfield State University,BIOL 0104,HUMAN BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Wheaton Coll Ma,BIO 111,EVOLUTION & ECOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Massachusetts,Worcester Polytechnic,BB 1001,INTRODUCTION TO BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Michigan,Centrl Michigan Univ,BIO 101N,GENERAL BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Michigan,Michigan State Univ,ISB 208L,IS BIOLOGY LAB,BIOL 1000,BIOLOGY ELECTIVE,2.0
Michigan,Michigan State Univ,ZOL 141,INTRO HUMAN GENETICS,BIOL 1000,BIOLOGY ELECTIVE,3.0
Michigan,Schoolcraft College,BIOL 105,BASIC HUMAN ANATOMY & PHYS,BIOL 1000,BIOLOGY ELECTIVE,4.0
Minnesota,Anoka-Ramsey C C,NSCI 1020,PLANT SCIENCE,BIOL 1000,BIOLOGY ELECTIVE,3.0
Minnesota,St Olaf College,BIO 126,EVOLUTION AND DIVERSITY W/LAB,BIOL 1000,BIOLOGY ELECTIVE,4.0
Minnesota,University of Northwestern,"BIO 1012
AND BIO 1011
AND BIO 1011L","PRINCIPLES OF BIOLOGY II
AND PRINCIPLES OF BIOLOGY I
AND PRINCIPLES OF BIOLOGY LAB I","BIOL 1000
AND BIOL 1000","BIOLOGY ELECTIVE
AND BIOLOGY ELECTIVE","4.0
AND 4.0"
Minnesota,University of Northwestern,"BIO 1012
AND BIO 1011
AND BIO 1011L","PRINCIPLES OF BIOLOGY II
AND PRINCIPLES OF BIOLOGY I
AND PRINCIPLES OF BIOLOGY LAB I","BIOL 1000
AND BIOL 1000","BIOLOGY ELECTIVE
AND BIOLOGY ELECTIVE","4.0
AND 4.0"
Missouri,Metropolitan CC Blue River,BIOL 106,GENERAL ZOOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Missouri,Northwst Mo St Univ,BIOL 04140,GENERAL MICROBIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Missouri,St Charles Cnty C C,"BIO 247
AND BIO 245","MICROBIOLOGY LAB
AND MICROBIOLOGY",BIOL 1000,BIOLOGY ELECTIVE,4.0
Missouri,Univ Missouri Columb,"AN SCI 1011
AND AN SCI 1065","ANIMAL SCIENCE
AND ANIMAL SCIENCE LAB PRACTICUM",BIOL 1000,BIOLOGY ELECTIVE,4.0
Missouri,Univ Missouri Columb,"BIO SC 1020
AND BIO SC 1010","GENERAL BIOLOGY LAB
AND GEN PRNCPL & CONCPT BIO",BIOL 1000,BIOLOGY ELECTIVE,4.0
NETHERLANDS,Universiteit Maastricht,SCI 1009,INTRODUCTION TO BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Nevada,College of Southern Nevada,HHP 123,INTRO TO THE HUMAN BODY,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Hampshire,Dartmouth College,BIOL 011,EMERGING INFECTIOUS DISEASE,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Hampshire,Franklin Pierce Coll,BI 102,BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Hampshire,Great Bay Community College,"BIOL 106
AND BIOL 107","THE HUMAN BODY
AND THE HUMAN BODY LAB",BIOL 1000,BIOLOGY ELECTIVE,4.0
New Hampshire,Manchester Comm. College,"BIOL 106
AND BIOL 107","THE HUMAN BODY
AND THE HUMAN BODY LAB",BIOL 1000,BIOLOGY ELECTIVE,4.0
New Hampshire,U New Hmpshr Manches,INCO 404E,BIOTECHNOLOGY HONORS SEM.,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Hampshire,Univ New Hampshire,BIOL 412,"INTRO BIOL: EVOL, BIODIV & ECO",BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,Bergen Cmty Coll,BIO 101,GENERAL BIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,Bergen Cmty Coll,"BIO 101
AND BIO 203","GENERAL BIOLOGY I
AND GENERAL BIOLOGY 2","BIOL 1000
AND BIOL 1015
AND BIOL 1010","BIOLOGY ELECTIVE
AND INTRODUCTION TO BIOLOGY LAB
AND INTRODUCTION TO BIOLOGY","4.0
AND 1.0
AND 3.0"
New Jersey,Bergen Cmty Coll,BIO 107,INTRO HUMAN BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,Bergen Cmty Coll,BIO 203,GENERAL BIOLOGY 2,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,Brookdale Cmty Coll,BIOL 105,LIFE SCIENCES,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,County Coll Morris,BIO 101,ANATOMY & PHYSIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,County Coll Morris,BIO 102,ANATOMY & PHYSIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,County Coll Morris,BIO 202,ECOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,Middlesex County Col,BIO 111,HUMAN ANATONY & PHYSIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,Middlesex County Col,BIO 112,HUMAN ANATONY & PHYSIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,Montclair State Univ,BIOL 113,PRINCIPLES OF BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,Raritan Vly Cmty Clg,BIOL 102,GENERAL BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,Raritan Vly Cmty Clg,BIOL 124,HUMAN ANATOMY & PHYS I,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,Raritan Vly Cmty Clg,BIOL 125,HUMAN ANATOMY & PHYS II,BIOL 1000,BIOLOGY ELECTIVE,4.0
New Jersey,Rider University,"BIO 116
AND BIO 116L","PRINCIPLES OF BIOLOGY II
AND PRINCIPLES OF BIOLOGY II LAB",BIOL 1000,BIOLOGY ELECTIVE,4.0
