School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Florida,Daytona State College,ARH 1000,ART APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Florida,Daytona State College,MUL 1010,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Florida,Florida Atlantic Unv,MUL 2010,HIST & APPRECIATE OF MUSCI,ARTS 1000,ARTS ELECTIVE,3.0
Florida,Florida International Univ.,MUH 1011,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Florida,Florida State College,"ARH 2051
AND ARH 2050","ART HIST 15TH TO 21ST CENTURY
AND ART HIST PREHISTORY TO 15TH CE","ARTS 1000
AND ARTS 1050","ARTS ELECTIVE
AND ART HISTORY","2.0
AND 4.0"
Florida,Hillsborough C C,THE 1000H,HNRS INTRO TO THEATRE,ARTS 1000,ARTS ELECTIVE,3.0
Florida,Miami-Dade Cc North,MUL 1010,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Florida,Santa Fe Cmty Coll,MUL 1010,MUSIC APPREC,ARTS 1000,ARTS ELECTIVE,3.0
Florida,Santa Fe Cmty Coll,MUT 1001,FUND MUSIC,ARTS 1000,ARTS ELECTIVE,3.0
Florida,St Petersburg Jr Col,ARH 1000,UNDERSTANDING ART,ARTS 1000,ARTS ELECTIVE,3.0
Florida,Univ North Florida,MUH 2017,HISTORY & APPRECIATION OF ROCK,ARTS 1000,ARTS ELECTIVE,3.0
Georgia,Clark Atlanta Univ,CMUS 120,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Georgia,Morehouse College,HART 110,SURVEY OF VISUAL ARTS,ARTS 1000,ARTS ELECTIVE,3.0
Georgia,Morehouse College,HART 110G,SURVEY OF VISUAL ARTS,ARTS 1000,ARTS ELECTIVE,3.0
Georgia,Spelman College,SART 111,BASIC DRAWING,ARTS 1000,ARTS ELECTIVE,4.0
Georgia,Spelman College,SDAN 105,DANCE APPRECIATION,ARTS 1000,ARTS ELECTIVE,4.0
Georgia,Spelman College,SMUS 080,WOODWIND ENSEMBLE,ARTS 1000,ARTS ELECTIVE,1.0
Georgia,Spelman College,SMUS 120,MUSIC HISTORY & APPRECIATION,ARTS 1000,ARTS ELECTIVE,4.0
Georgia,University of North Georgia,MUSC 1100,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Idaho,Boise State University,ART 156,ARCH GRAPHIC COMMUNICATION,ARTS 1000,ARTS ELECTIVE,3.0
Illinois,City Colleges of Chicago,ART 103,ART APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Illinois,Illinois Inst of Technology,HUM 200(A),HISTORY OF PHOTOGRAPHY,ARTS 1000,ARTS ELECTIVE,3.0
Illinois,John A Logan College,ART 111,ART APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Illinois,Knox College,DANC 141,BEGINNING MODERN DANCE,ARTS 1000,ARTS ELECTIVE,2.0
Illinois,Knox College,MUS 101,INTRODUCTION TO MUSIC I,ARTS 1000,ARTS ELECTIVE,4.0
Illinois,Northern Illinois U,ART 273,INTRO TO METALS/JEWELRY,ARTS 1000,ARTS ELECTIVE,3.0
Illinois,Northwestern University,THEATRE 120-0,PRODUCTION IN CONTEXT,ARTS 1000,ARTS ELECTIVE,3.0
Illinois,Northwestern University,THEATRE 140-1,THEATRE IN CONTEXT: INTRO,ARTS 1000,ARTS ELECTIVE,3.0
Illinois,Northwestern University,THEATRE 140-2,THEATRE IN CONTEXT: ANALYS/RES,ARTS 1000,ARTS ELECTIVE,3.0
Illinois,Univ Of Chicago,ARTV 10100,VISUAL LANGUAGE 1,ARTS 1000,ARTS ELECTIVE,3.0
Illinois,Wm Rainey Harper Col,ART 130,ANCIENT AND MEDIEVAL ART,ARTS 1000,ARTS ELECTIVE,3.0
Illinois,Wm Rainey Harper Col,ART 131,GOTHIC THROUGH ROMANTIC ART,ARTS 1000,ARTS ELECTIVE,3.0
Indiana,Earlham College,ART 235,PHOTOGRAPHY I,ARTS 1000,ARTS ELECTIVE,3.0
Indiana,Indiana Univ Bloomng,MUS-V 101,VOICE CLASS,ARTS 1000,ARTS ELECTIVE,2.0
Iowa,Grinnell College,THE 115,INTRO TO TECHNICAL THEATRE,ARTS 1000,ARTS ELECTIVE,4.0
Iowa,University Of Iowa,MUS 1066,INTRODUCTION TO FILM MUSIC,ARTS 1000,ARTS ELECTIVE,3.0
Kansas,Centrl Coll Ks,HU-AR 103-G,DRAWING I & II W/LAB,ARTS 1000,ARTS ELECTIVE,3.0
Kentucky,Western Kentucky Uni,MUS 120,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Louisiana,Tulane University,MUSC 101,ADV FUND THEORY OF SONGWRTNG,ARTS 1000,ARTS ELECTIVE,3.0
MALAYSIA,INTI International University,ART 105,ART APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Maine,Bates College,DANC 271E,STUDIO DANCE: JAZZ,ARTS 1000,ARTS ELECTIVE,2.0
Maine,Colby College,TD 113,THE DRAMATIC EXPERIENCE,ARTS 1000,ARTS ELECTIVE,4.0
Maine,Colby College,TD 114,THE DANCE EXPERIENCE,ARTS 1000,ARTS ELECTIVE,4.0
Maine,Univ New England,ART 115,INTRO. TO DANCE,ARTS 1000,ARTS ELECTIVE,3.0
Maine,University Maine,MUL 101,ART OF LISTEN MUS: ELEMENTS,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Anne Arundel C C,ART 120,DIGITAL PHOTOGRAPHY,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Anne Arundel C C,ART 170,WEB DESIGN I,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Commun Coll of Baltimore Cnty,MUSC 102,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Commun Coll of Baltimore Cnty,MUSC 142,AUDIO RECORDING TECHNIQUES II,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Goucher College,DAN 121,BALLET TECHNIQUE I,ARTS 1000,ARTS ELECTIVE,2.0
Maryland,Goucher College,DAN 133,AFRICANIST TECH I,ARTS 1000,ARTS ELECTIVE,2.0
Maryland,Howard Cmty College,FILM 171,INTRO TO AMERICAN CINEMA,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Howard Cmty College,MUSC 101,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Loyola College,AH 110,SRVY OF ART: PALEOLIT TO GTHIC,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Loyola College,AH 111,SURVEY OF ART: REN TO MOD,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Montgomery Coll Rckvlle,AR 107,ART HISTORY I,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Montgomery Coll Rckvlle,MU 139,INTRO TO MUSIC THEORY,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Montgomery Coll Rckvlle,MU 173,JAZZ IMPROVISATION,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Montgomery Coll Rckvlle,TR 104,MEDIA APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,Prince Georges C C,ART 1510,TWO-DIMENSIONAL DESIGN,ARTS 1000,ARTS ELECTIVE,3.0
Maryland,U. of  Maryland College Park,THET 110,INTRO TO THE THEATRE,ARTS 1000,ARTS ELECTIVE,3.0
Massachusetts,Berklee Coll Music,AR 011-019,ARRANGING I,ARTS 1000,ARTS ELECTIVE,2.0
Massachusetts,Berklee Coll Music,AR 111-6D,ARRANGING I,ARTS 1000,ARTS ELECTIVE,2.0
Massachusetts,Berklee Coll Music,BME 101,MUSIC THEORY,ARTS 1000,ARTS ELECTIVE,3.0
Massachusetts,Berklee Coll Music,BME 112,REHARMONIZATION TECHNIQUES,ARTS 1000,ARTS ELECTIVE,3.0
Massachusetts,Berklee Coll Music,ET 011,EAR TRAINING,ARTS 1000,ARTS ELECTIVE,3.0
Massachusetts,Berklee Coll Music,ET 012-017,EAR TRAINING 2,ARTS 1000,ARTS ELECTIVE,3.0
Massachusetts,Berklee Coll Music,ET 111-6C,EAR TRAINING,ARTS 1000,ARTS ELECTIVE,3.0
Massachusetts,Berklee Coll Music,HR 011,HARMONY 1,ARTS 1000,ARTS ELECTIVE,2.0
Massachusetts,Berklee Coll Music,HR 112-6A,HARMONY 2,ARTS 1000,ARTS ELECTIVE,2.0
Massachusetts,Berkshire Cmty Coll,ENV 115,INTRO TO NATURE PHOTOGRAPHY,ARTS 1000,ARTS ELECTIVE,3.0
Massachusetts,Berkshire Cmty Coll,FAS 103,PRINTMAKING I,ARTS 1000,ARTS ELECTIVE,3.0
Massachusetts,Berkshire Cmty Coll,FAS 113,PRINTMAKING II,ARTS 1000,ARTS ELECTIVE,3.0
Massachusetts,Berkshire Cmty Coll,FAS 119,PHOTOGRAPHY I,ARTS 1000,ARTS ELECTIVE,3.0
Massachusetts,Berkshire Cmty Coll,MUS 101,APPLIED MUSIC I,ARTS 1000,ARTS ELECTIVE,3.0
Massachusetts,Berkshire Cmty Coll,MUS 102,APPLIED MUSIC II,ARTS 1000,ARTS ELECTIVE,3.0
